@relation 'World Happiness Report 2024-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-R3-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Life Ladder' numeric
@attribute 'Log GDP per capita' numeric
@attribute 'Social support' numeric
@attribute 'Healthy life expectancy at birth' numeric
@attribute 'Freedom to make life choices' numeric
@attribute Generosity numeric
@attribute 'Perceptions of corruption' numeric
@attribute 'Positive affect' numeric
@attribute 'Negative affect' numeric
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
0.362488,0.29659,0.293028,0.644962,0.647151,0.484644,0.892847,0.334059,0.282154,no,no
0.463144,0.322323,0.426927,0.649381,0.595335,0.507011,0.859462,0.429311,0.248219,no,no
0.516071,0.339441,0.409494,0.653801,0.491264,0.440188,0.708347,0.479666,0.309699,no,no
0.378536,0.334132,0.38582,0.65822,0.353559,0.480836,0.734022,0.427059,0.296594,no,no
0.371296,0.347021,0.385205,0.66264,0.399846,0.552107,0.780971,0.616754,0.297791,no,no
0.340004,0.350245,0.336353,0.66706,0.46197,0.383781,0.831162,0.522961,0.306489,no,no
0.27452,0.348668,0.391702,0.671479,0.370223,0.425242,0.88183,0.443813,0.469764,no,no
0.400967,0.345935,0.395692,0.675899,0.212223,0.402038,0.891741,0.443485,0.41254,no,no
0.436189,0.345372,0.435836,0.680687,0.388789,0.365721,0.799562,0.457674,0.427103,no,no
0.204885,0.344959,0.346007,0.685474,0.262539,0.208542,0.969535,0.36382,0.46408,no,no
0.209721,0.34219,0.367921,0.690262,0.191886,0.235772,0.941281,0.291862,0.518077,no,no
0.162344,0.3437,0.2526,0.69505,0.21847,0.221427,0.937319,0.206076,0.674978,no,no
0.171389,0.292375,0.297655,0.704626,0.219329,0.245295,0.960998,0,0.842604,no,no
0,0.629864,0,0.709414,0.185071,0.326857,0.736226,0.038289,0.79243,yes,no
0.024435,0.629864,0.184766,0.714202,0,0.326857,0.741788,0.115833,0.606944,no,no
0.497647,0.584628,0.781365,0.884502,0.396767,0.314197,0.885477,0.439808,0.263082,no,no
0.623985,0.604099,0.796744,0.892752,0.392299,0.171031,0.873839,0.547167,0.316023,no,no
0.591847,0.610826,0.665153,0.896877,0.450083,0.157179,0.72891,0.563631,0.349477,no,no
0.680674,0.615352,0.699774,0.901002,0.342454,0.125907,0.887906,0.548989,0.279551,no,no
0.627644,0.617909,0.732796,0.905127,0.493094,0.160289,0.856973,0.531555,0.303378,no,no
0.485239,0.619828,0.69983,0.909252,0.53315,0.20037,0.873037,0.513502,0.411097,no,no
0.52429,0.623026,0.523457,0.913377,0.668996,0.299048,0.893921,0.559187,0.404928,no,no
0.493551,0.627068,0.541595,0.917501,0.628305,0.244982,0.896124,0.567881,0.430471,no,no
0.479369,0.632632,0.54035,0.91787,0.662615,0.306424,0.913293,0.550864,0.384286,no,no
0.498434,0.638851,0.539411,0.918238,0.688765,0.295048,0.886991,0.522711,0.403869,no,no
0.552585,0.645661,0.599867,0.918606,0.787329,0.331354,0.911245,0.58629,0.379929,no,no
0.551237,0.649714,0.60352,0.918975,0.725416,0.227329,0.92723,0.524057,0.307292,no,no
0.606091,0.645187,0.634806,0.919343,0.694129,0.328265,0.903049,0.545764,0.293203,no,no
0.58985,0.660573,0.623961,0.919711,0.791611,0.363914,0.908078,0.532062,0.274852,no,no
0.583428,0.670364,0.653215,0.92008,0.758312,0.259446,0.854681,0.522548,0.276735,no,no
0.617932,0.67687,0.6093,0.920448,0.849867,0.392094,0.865147,0.593817,0.372259,no,no
0.620734,0.614688,0.765554,0.86594,0.481445,0.122459,0.614759,0.671196,0.306218,no,no
0.599009,0.61625,0.766694,0.867413,0.398031,0.146204,0.635795,0.459558,0.27685,no,no
0.641665,0.618527,0.805109,0.868886,0.473475,0.154404,0.690785,0.512519,0.236356,no,no
0.753025,0.622667,0.777173,0.871833,0.689662,0.326857,0.747577,0.538489,0.151369,no,no
0.602521,0.627203,0.685487,0.874779,0.689662,0.326857,0.747577,0.547949,0.473384,no,no
0.588875,0.626121,0.762109,0.876252,0.275302,0.159337,0.700972,0.533053,0.331225,no,no
0.558326,0.624966,0.751435,0.877725,0.469138,0.179457,0.763129,0.503532,0.338036,no,no
0.514029,0.623593,0.757504,0.879199,0.207144,0.324603,0.744044,0.51872,0.21301,no,no
0.616903,0.612262,0.842326,0.880672,0.4566,0.207721,0.726803,0.489972,0.366474,no,no
0.584141,0.615003,0.80684,0.882145,0.436248,0.215173,0.713762,0.452868,0.281485,no,no
0.631807,0.61732,0.731346,0.883618,0.279662,0.283543,0.607424,0.574064,0.282798,no,no
0.639351,0.555789,0.651904,0.655569,0.469562,0.374777,0.924104,0.692417,0.447576,no,no
0.45698,0.563007,0.690762,0.664702,0.300878,0.19075,0.918809,0.584535,0.357244,no,no
0.394178,0.564796,0.649923,0.673836,0.239476,0.222161,0.823959,0.668597,0.463354,no,no
0.373062,0.566464,0.693426,0.68297,0.193216,0.160537,0.842629,0.590838,0.458512,no,no
0.746795,0.717232,0.935609,0.870654,0.666823,0.170747,0.861323,0.807999,0.394777,no,no
0.711209,0.729622,0.835155,0.872422,0.560899,0.186029,0.892184,0.810188,0.315623,no,no
0.694568,0.734476,0.87466,0.87419,0.594444,0.194917,0.875243,0.76786,0.378683,no,no
0.763301,0.722905,0.909567,0.875958,0.539514,0.196677,0.89607,0.826881,0.247912,no,no
0.765814,0.738175,0.920244,0.877725,0.663195,0.200209,0.864378,0.832403,0.20622,no,no
0.815496,0.745782,0.870549,0.879493,0.776218,0.153702,0.758849,0.837315,0.239797,no,no
0.769869,0.742255,0.887282,0.881261,0.685973,0.179099,0.824139,0.802012,0.304706,no,no
0.78677,0.744301,0.897949,0.883029,0.672434,0.195929,0.830841,0.833362,0.275737,no,no
0.799957,0.738374,0.908483,0.884797,0.682749,0.163185,0.863846,0.838061,0.249538,no,no
0.803819,0.741003,0.91984,0.886565,0.862654,0.15385,0.860381,0.835758,0.357991,no,no
0.763759,0.735865,0.86231,0.887301,0.818365,0.136626,0.8604,0.784517,0.368109,no,no
0.706188,0.738698,0.893767,0.888038,0.797574,0.142248,0.849988,0.761028,0.336061,no,no
0.669598,0.732733,0.884826,0.888774,0.815977,0.118582,0.864968,0.784992,0.38235,no,no
0.71305,0.72783,0.880161,0.889511,0.77787,0.118274,0.838815,0.789016,0.380022,no,no
0.685593,0.70922,0.881127,0.890248,0.786245,0.20091,0.823331,0.710133,0.417719,no,no
0.686738,0.723768,0.861632,0.890984,0.781076,0.312926,0.823834,0.717999,0.421956,no,no
0.739087,0.730573,0.876155,0.891721,0.78862,0.201457,0.817274,0.773637,0.3241,no,no
0.758714,0.726455,0.874558,0.892457,0.797201,0.202562,0.855305,0.768037,0.351249,no,no
0.446452,0.568255,0.597608,0.841485,0.385659,0.100706,0.858912,0.389572,0.621822,no,no
0.534346,0.590328,0.700051,0.845021,0.498244,0.081386,0.825087,0.390046,0.529033,no,no
0.500277,0.602318,0.633977,0.848556,0.308974,0.115965,0.886954,0.436135,0.485895,no,no
0.429869,0.578646,0.595144,0.852092,0.281567,0.117192,0.893059,0.425879,0.528329,no,no
0.458102,0.583176,0.56924,0.855628,0.305143,0.153554,0.902279,0.365917,0.552798,no,no
0.442174,0.591604,0.628211,0.859163,0.312103,0.105675,0.885373,0.329177,0.605187,no,no
0.450964,0.603722,0.590454,0.862699,0.361436,0.11502,0.904299,0.412925,0.612876,no,no
0.444653,0.609731,0.652122,0.866235,0.364367,0.13335,0.911949,0.459796,0.590514,no,no
0.470758,0.616126,0.672545,0.86977,0.367545,0.110593,0.933671,0.470146,0.516597,no,no
0.45521,0.621888,0.651188,0.873306,0.426391,0.12526,0.913706,0.49378,0.571214,no,no
0.451818,0.622935,0.633625,0.877357,0.505612,0.155696,0.934758,0.478364,0.570056,no,no
0.446218,0.635488,0.618748,0.881408,0.509192,0.17783,0.874913,0.530042,0.569929,no,no
0.5612,0.644611,0.772245,0.88546,0.765438,0.162127,0.676767,0.505913,0.598379,no,no
0.624373,0.657441,0.728978,0.889511,0.813901,0.152165,0.578301,0.507559,0.559178,no,no
0.596542,0.656022,0.703212,0.897613,0.748958,0.174007,0.706836,0.549022,0.634882,no,no
0.608619,0.675935,0.767925,0.901665,0.741597,0.17494,0.7062,0.499567,0.75055,no,no
0.652722,0.683523,0.778685,0.905716,0.78094,0.154076,0.680863,0.561701,0.546582,no,no
0.899335,0.835168,0.974377,0.929287,0.933669,0.326857,0.374672,0.83849,0.249698,no,no
0.891128,0.840433,0.970931,0.931644,0.87515,0.655541,0.503524,0.827895,0.213256,no,no
0.886433,0.842876,0.946375,0.932823,0.908249,0.615407,0.417278,0.780624,0.218203,no,no
0.915566,0.843558,0.956761,0.93518,0.929818,0.626379,0.349053,0.82706,0.22085,no,no
0.908972,0.845142,0.97324,0.936358,0.94637,0.67704,0.365554,0.773728,0.18105,no,no
0.877799,0.848528,0.943693,0.937537,0.933897,0.584943,0.351294,0.779347,0.211722,no,no
0.90282,0.849869,0.922097,0.938715,0.931563,0.580276,0.418047,0.839025,0.151813,no,no
0.891597,0.851585,0.916292,0.939894,0.91776,0.62814,0.429103,0.795983,0.261424,no,no
0.894641,0.852708,0.95326,0.941072,0.916358,0.641005,0.338956,0.809731,0.204068,no,no
0.885887,0.854549,0.940709,0.942177,0.916945,0.551202,0.383246,0.79042,0.2466,no,no
0.88692,0.85553,0.950752,0.943282,0.901401,0.627042,0.396749,0.779429,0.229353,no,no
0.87504,0.857708,0.937815,0.944387,0.908638,0.462612,0.389683,0.747973,0.168399,no,no
0.8835,0.858786,0.941289,0.945492,0.910632,0.437601,0.416644,0.777764,0.192092,no,no
0.869158,0.856694,0.933046,0.946597,0.894441,0.520694,0.480864,0.775937,0.196736,no,no
0.865334,0.860083,0.910966,0.947702,0.903848,0.552216,0.441396,0.795961,0.245359,no,no
0.85392,0.864031,0.939839,0.948807,0.826391,0.473771,0.53795,0.754769,0.259198,no,no
0.852419,0.865153,0.880279,0.949912,0.855447,0.507023,0.470829,0.783549,0.266021,no,no
0.866909,0.86353,0.932827,0.924867,0.942137,0.61231,0.479827,0.804976,0.146457,no,no
0.875627,0.870803,0.930511,0.927814,0.859807,0.601637,0.610105,0.762609,0.145465,no,no
0.893694,0.866706,0.903639,0.93076,0.88215,0.447265,0.538929,0.754102,0.117481,no,no
0.918604,0.870844,0.94311,0.932233,0.939459,0.447919,0.70408,0.700023,0.100507,no,no
0.90824,0.871205,0.944408,0.933707,0.913495,0.434663,0.775662,0.756724,0.1189,no,no
0.922802,0.870288,0.950556,0.93518,0.916177,0.483209,0.678994,0.775035,0.128433,no,no
0.841349,0.870089,0.88352,0.936653,0.867679,0.434476,0.560854,0.769234,0.140568,no,no
0.860117,0.869907,0.921972,0.938126,0.887865,0.416466,0.550885,0.807182,0.131433,no,no
0.855905,0.871352,0.919612,0.939968,0.872286,0.398103,0.515193,0.75857,0.184428,no,no
0.892365,0.873855,0.893133,0.941809,0.87429,0.449552,0.509563,0.737907,0.156841,no,no
0.907545,0.87696,0.900313,0.943651,0.892894,0.372945,0.514581,0.73186,0.230476,no,no
0.877766,0.878686,0.969893,0.945492,0.89199,0.379011,0.444996,0.778281,0.196884,no,no
0.880456,0.867161,0.917652,0.947334,0.903197,0.331014,0.452106,0.762688,0.199023,no,no
0.860591,0.873699,0.83617,0.949175,0.74853,0.478584,0.49111,0.770511,0.283577,no,no
0.848622,0.880062,0.853705,0.951017,0.828671,0.459026,0.515795,0.764482,0.231016,no,no
0.794696,0.878811,0.851255,0.952858,0.85322,0.528155,0.521299,0.757216,0.252264,no,no
0.511542,0.58994,0.824893,0.793459,0.717722,0.096522,0.779386,0.411338,0.310296,no,no
0.487838,0.624387,0.691623,0.797584,0.388102,0.123599,0.88148,0.419193,0.324226,no,no
0.524799,0.63759,0.600756,0.801709,0.492474,0.294222,0.717163,0.541977,0.23166,no,no
0.488664,0.648671,0.668865,0.805834,0.356514,0.238981,0.758009,0.486896,0.243153,no,no
0.435958,0.654746,0.604358,0.809959,0.360389,0.203846,0.868229,0.478765,0.30415,no,no
0.504507,0.65279,0.654669,0.814084,0.408499,0.220678,0.801539,0.486459,0.282029,no,no
0.538688,0.654113,0.702987,0.818209,0.489588,0.186624,0.767824,0.488757,0.294855,no,no
0.623348,0.661193,0.713284,0.822334,0.586167,0.15985,0.699965,0.478506,0.256843,no,no
0.589264,0.663576,0.752465,0.826458,0.666518,0.120997,0.652528,0.458635,0.220704,no,no
0.573716,0.663408,0.734378,0.830583,0.708158,0.131017,0.612138,0.484666,0.198403,no,no
0.597035,0.656469,0.723271,0.832425,0.63983,0.124863,0.602875,0.468214,0.174286,no,no
0.574533,0.655198,0.736139,0.834266,0.664216,0.104656,0.65115,0.472032,0.185867,no,no
0.576865,0.65621,0.728486,0.836108,0.718939,0.098414,0.554815,0.494092,0.174727,no,no
0.577666,0.658849,0.867496,0.837949,0.827014,0.115021,0.445177,0.564795,0.130551,no,no
0.489044,0.665501,0.575685,0.843474,0.755707,0.399053,0.697461,0.502231,0.51205,no,no
0.583678,0.668454,0.639236,0.845315,0.79324,0.172624,0.623833,0.468533,0.222852,no,no
0.655903,0.843585,0.8904,0.855038,0.882086,0.356676,0.496695,0.750016,0.54539,no,no
0.690981,0.845838,0.854796,0.858574,0.837259,0.3189,0.716631,0.655815,0.546647,no,no
0.525806,0.849242,0.895306,0.86211,0.847654,0.267897,0.577299,0.464178,0.693062,no,no
0.555967,0.853478,0.899893,0.865645,0.599202,0.326857,0.424772,0.539988,0.479338,no,no
0.802717,0.857252,0.863576,0.869181,0.767503,0.326857,0.516313,0.755245,0.359366,no,no
0.72486,0.857924,0.765554,0.872717,0.689662,0.326857,0.747577,0.671196,0.306218,no,no
0.701446,0.855709,0.822437,0.876252,0.820768,0.428537,0.747577,0.673277,0.35416,no,no
0.725534,0.855819,0.835807,0.875147,0.87252,0.40525,0.747577,0.790881,0.322792,no,no
0.73409,0.857298,0.852994,0.874042,0.895202,0.450297,0.747577,0.816584,0.332913,no,no
0.863317,0.860065,0.855868,0.871833,0.896096,0.360119,0.747577,0.755641,0.376889,no,no
0.726054,0.85416,0.816106,0.870728,0.947224,0.437486,0.747577,0.781359,0.344291,no,no
0.694276,0.870101,0.776235,0.867413,0.845923,0.475579,0.747577,0.697719,0.407175,no,no
0.450844,0.392431,0.5846,0.771951,0.506507,0.376715,0.791832,0.397004,0.382817,no,no
0.493651,0.401814,0.376688,0.779611,0.497092,0.349691,0.813139,0.433333,0.370508,no,no
0.559691,0.409867,0.313961,0.787272,0.499039,0.268691,0.808606,0.519018,0.239806,no,no
0.564228,0.416441,0.394659,0.794932,0.531962,0.238799,0.781377,0.463972,0.225965,no,no
0.530927,0.423402,0.423093,0.802593,0.569055,0.294921,0.778768,0.44963,0.337199,no,no
0.549802,0.431607,0.498259,0.810253,0.80554,0.243819,0.761335,0.45753,0.244824,no,no
0.511034,0.439859,0.46573,0.817914,0.580519,0.277534,0.769659,0.50837,0.161627,no,no
0.501493,0.447296,0.397724,0.825575,0.678072,0.295698,0.746327,0.444224,0.262628,no,no
0.497842,0.454839,0.459539,0.833235,0.670138,0.216236,0.79548,0.671196,0.237904,no,no
0.497532,0.463224,0.491685,0.840896,0.774889,0.244872,0.722939,0.516813,0.229985,no,no
0.486054,0.472398,0.554453,0.842737,0.854035,0.225433,0.688399,0.365747,0.24489,no,no
0.449488,0.480746,0.638017,0.844579,0.882464,0.32256,0.632666,0.365561,0.210289,no,no
0.477606,0.490345,0.6288,0.84642,0.889405,0.27008,0.702709,0.360549,0.447857,no,no
0.568884,0.500873,0.586141,0.848262,0.89002,0.262457,0.654805,0.360124,0.461097,no,no
0.593487,0.504525,0.673301,0.850103,0.725569,0.302297,0.745151,0.433764,0.400371,no,no
0.421815,0.513566,0.337919,0.851945,0.878231,0.412362,0.749947,0.460714,0.587799,no,no
0.315578,0.522973,0.231174,0.853786,0.840659,0.271368,0.61353,0.304571,0.587475,no,no
0.420365,0.529538,0.291895,0.855628,0.912841,0.345047,0.759874,0.363901,0.565801,no,no
0.64954,0.644408,0.90852,0.785799,0.632572,0.084587,0.709938,0.50551,0.300173,no,no
0.643503,0.658571,0.828993,0.794048,0.580013,0.104959,0.695778,0.45916,0.244824,no,no
0.620699,0.674929,0.889817,0.802298,0.543844,0.109523,0.697514,0.671196,0.261995,no,no
0.63566,0.675654,0.895188,0.810548,0.595859,0.125904,0.675414,0.518539,0.226025,no,no
0.629989,0.688221,0.908654,0.818798,0.623303,0.164755,0.707666,0.500868,0.201873,no,no
0.585372,0.697123,0.897967,0.827048,0.565098,0.159539,0.671612,0.446282,0.2681,no,no
0.663104,0.700098,0.887526,0.835298,0.550879,0.11201,0.656309,0.47712,0.157638,no,no
0.682016,0.701784,0.914589,0.843547,0.654175,0.150286,0.651678,0.520145,0.198572,no,no
0.672508,0.704477,0.858937,0.851797,0.553437,0.274621,0.681706,0.562198,0.202296,no,no
0.658631,0.69791,0.916653,0.860047,0.521158,0.233126,0.668173,0.520574,0.163339,no,no
0.578335,0.693607,0.919918,0.863362,0.568029,0.200244,0.663297,0.459502,0.159795,no,no
0.633995,0.697851,0.885279,0.866677,0.518814,0.203974,0.652811,0.458138,0.241265,no,no
0.586628,0.703242,0.890961,0.869991,0.548704,0.152981,0.720676,0.326377,0.246026,no,no
0.673851,0.705906,0.906994,0.873306,0.566317,0.141789,0.538676,0.539383,0.172202,no,no
0.887699,0.848463,0.930883,0.908662,0.918963,0.326857,0.593154,0.706683,0.285667,no,no
0.88125,0.856168,0.9134,0.913377,0.888611,0.387882,0.723459,0.801331,0.21688,no,no
0.866075,0.855608,0.91521,0.915734,0.870321,0.32771,0.650371,0.752818,0.255786,no,no
0.827029,0.854086,0.925212,0.920448,0.764496,0.342458,0.698432,0.871943,0.25348,no,no
